fixed_T_ms,fixed_T2_ms2,phase_rad,upper_probability,lower_probability
11.5,132.25,1.6677746243739566,44.56813780294473,59.48755727174244
11.5,132.25,1.6782637729549248,44.562327228763905,59.4803257099188
11.5,132.25,1.6887529215358932,44.55536337605632,59.4714459942465
11.5,132.25,1.6992420701168616,44.547247010993615,59.46091910168277
11.5,132.25,1.7097312186978297,44.53797902654824,59.44874619040927
11.5,132.25,1.7202203672787981,44.527560442395256,59.434928599704655
11.5,132.25,1.7307095158597663,44.51599240480009,59.41946784979724
11.5,132.25,1.7411986644407347,44.50327618649246,59.40236564169774
11.5,132.25,1.7516878130217028,44.48941318652631,59.38362385701211
11.5,132.25,1.7621769616026712,44.474404930125985,59.363244557734546
11.5,132.25,1.7726661101836394,44.45825306851826,59.34122998602059
11.5,132.25,1.7831552587646078,44.44095937875082,59.3175825639405
11.5,132.25,1.793644407345576,44.42252576349668,59.29230489321271
11.5,132.25,1.8041335559265443,44.40295425084483,59.26539975491762
11.5,132.25,1.8146227045075125,44.38224699407716,59.23687010919162
11.5,132.25,1.825111853088481,44.360406271431515,59.20671909490142
11.5,132.25,1.835601001669449,44.33743448585104,59.17495002929866
11.5,132.25,1.8460901502504174,44.313334164719826,59.14156640765498
11.5,132.25,1.8565792988313856,44.288107959584835,59.106571902877484
11.5,132.25,1.867068447412354,44.261758645864155,59.069970365104595
11.5,132.25,1.8775575959933222,44.23428912254167,59.03176582128249
11.5,132.25,1.8880467445742906,44.20570241184812,58.99196247472206
11.5,132.25,1.8985358931552587,44.17600165892853,58.950564704636385
11.5,132.25,1.9090250417362271,44.14519013149625,58.90757706565904
11.5,132.25,1.9195141903171953,44.11327121947342,58.86300428734292
11.5,132.25,1.9300033388981637,44.08024843461795,58.816851273639855
11.5,132.25,1.9404924874791318,44.046125410137236,58.76912310236115
11.5,132.25,1.9509816360601002,44.01090590028839,58.719825024618906
11.5,132.25,1.9614707846410684,43.97459377996515,58.668962464248196
11.5,132.25,1.9719599332220368,43.937193044271645,58.61654101721045
11.5,132.25,1.982449081803005,43.8987078080828,58.56256645097773
11.5,132.25,1.9929382303839733,43.859142305591575,58.50704470389812
11.5,132.25,2.0034273789649415,43.81850088984323,58.44998188454251
11.5,132.25,2.01391652754591,43.77678803225624,58.39138427103241
11.5,132.25,2.0244056761268783,43.73400832213049,58.33125831034929
11.5,132.25,2.0348948247078464,43.6901664661423,58.269610617625275
11.5,132.25,2.0453839732888146,43.64526728782651,58.206447975415266
11.5,132.25,2.055873121869783,43.59931572704593,58.14177733295081
11.5,132.25,2.0663622704507514,43.55231683944778,58.07560580537551
11.5,132.25,2.0768514190317195,43.50427579590742,58.00794067296212
11.5,132.25,2.0873405676126877,43.45519788195951,57.93878938031172
11.5,132.25,2.0978297161936563,43.405088497216504,57.86815953553454
11.5,132.25,2.1083188647746245,43.353953154774466,57.79605890941288
11.5,132.25,2.1188080133555927,43.301797480606645,57.72249543454626
11.5,132.25,2.129297161936561,43.24862721294444,57.64747720447866
11.5,132.25,2.1397863105175294,43.194448201646026,57.57101247280791
11.5,132.25,2.1502754590984976,43.13926640755284,57.493109652277795
