Parameter,atoms_UP_Fit,atoms_UP_Fit_Std,atoms_DW_Fit,atoms_DW_Fit_Std,atoms_UP_Raw,atoms_UP_Raw_Std,atoms_DW_Raw,atoms_DW_Raw_Std,amp_UP_Fit,amp_UP_Fit_Std,amp_DW_Fit,amp_DW_Fit_Std,amp_UP_Raw,amp_UP_Raw_Std,amp_DW_Raw,amp_DW_Raw_Std,sigma_UP_Fit,sigma_UP_Fit_Std,sigma_DW_Fit,sigma_DW_Fit_Std,sigma_UP_Raw,sigma_UP_Raw_Std,sigma_DW_Raw,sigma_DW_Raw_Std,temp_UP_Fit,temp_UP_Fit_Std,temp_DW_Fit,temp_DW_Fit_Std,temp_UP_Raw,temp_UP_Raw_Std,temp_DW_Raw,temp_DW_Raw_Std,arrival_UP_Fit,arrival_UP_Fit_Std,arrival_DW_Fit,arrival_DW_Fit_Std,arrival_UP_Raw,arrival_UP_Raw_Std,arrival_DW_Raw,arrival_DW_Raw_Std,prob_UP_Fit,prob_UP_Fit_Std,prob_DW_Fit,prob_DW_Fit_Std,prob_UP_Raw,prob_UP_Raw_Std,prob_DW_Raw,prob_DW_Raw_Std
15427,232572.9833,0.0000,703769.3226,0.0000,228355.7246,0.0000,689249.1657,0.0000,0.0043,0.0000,0.0062,0.0000,0.0044,0.0000,0.0060,0.0000,2.9086,0.0000,6.1042,0.0000,3.0057,0.0000,6.5680,0.0000,1.7805,0.0000,7.9629,0.0000,1.9012,0.0000,9.2090,0.0000,0.7983,0.0000,0.8035,0.0000,0.7983,0.0000,0.8032,0.0000,24.8385,0.0000,75.1615,0.0000,24.8861,0.0000,75.1139,0.0000
15428,234708.5972,0.0000,714735.4796,0.0000,227694.8922,0.0000,699687.0990,0.0000,0.0044,0.0000,0.0063,0.0000,0.0044,0.0000,0.0061,0.0000,2.8686,0.0000,6.1009,0.0000,3.1727,0.0000,6.6237,0.0000,1.7320,0.0000,7.9532,0.0000,2.1183,0.0000,9.3621,0.0000,0.7984,0.0000,0.8035,0.0000,0.7983,0.0000,0.8030,0.0000,24.7206,0.0000,75.2794,0.0000,24.5524,0.0000,75.4476,0.0000
15429,228755.4291,0.0000,698973.6226,0.0000,211562.8216,0.0000,680765.4364,0.0000,0.0044,0.0000,0.0062,0.0000,0.0044,0.0000,0.0060,0.0000,2.7958,0.0000,6.0626,0.0000,2.7831,0.0000,6.4567,0.0000,1.6454,0.0000,7.8560,0.0000,1.6319,0.0000,8.9046,0.0000,0.7984,0.0000,0.8036,0.0000,0.7987,0.0000,0.8033,0.0000,24.6576,0.0000,75.3424,0.0000,23.7091,0.0000,76.2909,0.0000
15430,229589.9968,0.0000,677343.5530,0.0000,214904.8592,0.0000,663259.6741,0.0000,0.0044,0.0000,0.0060,0.0000,0.0044,0.0000,0.0057,0.0000,2.8060,0.0000,6.0708,0.0000,3.1727,0.0000,6.2340,0.0000,1.6575,0.0000,7.8773,0.0000,2.1179,0.0000,8.3090,0.0000,0.7984,0.0000,0.8036,0.0000,0.7982,0.0000,0.8037,0.0000,25.3150,0.0000,74.6850,0.0000,24.4720,0.0000,75.5280,0.0000
15431,236663.1352,0.0000,673293.6215,0.0000,226109.6226,0.0000,652994.4026,0.0000,0.0045,0.0000,0.0059,0.0000,0.0045,0.0000,0.0055,0.0000,2.8282,0.0000,6.1368,0.0000,2.8944,0.0000,6.2340,0.0000,1.6837,0.0000,8.0499,0.0000,1.7640,0.0000,8.3106,0.0000,0.7984,0.0000,0.8036,0.0000,0.7985,0.0000,0.8037,0.0000,26.0082,0.0000,73.9918,0.0000,25.7205,0.0000,74.2795,0.0000
15432,242172.8722,0.0000,707343.7309,0.0000,234616.9219,0.0000,694223.1211,0.0000,0.0045,0.0000,0.0062,0.0000,0.0045,0.0000,0.0060,0.0000,2.8940,0.0000,6.1352,0.0000,3.1727,0.0000,6.6237,0.0000,1.7630,0.0000,8.0451,0.0000,2.1183,0.0000,9.3658,0.0000,0.7984,0.0000,0.8036,0.0000,0.7983,0.0000,0.8032,0.0000,25.5049,0.0000,74.4951,0.0000,25.2591,0.0000,74.7409,0.0000
15433,243262.0501,0.0000,706609.5493,0.0000,236892.7253,0.0000,690660.2305,0.0000,0.0045,0.0000,0.0062,0.0000,0.0044,0.0000,0.0060,0.0000,2.9071,0.0000,6.1289,0.0000,3.1170,0.0000,6.3454,0.0000,1.7790,0.0000,8.0281,0.0000,2.0455,0.0000,8.6034,0.0000,0.7984,0.0000,0.8036,0.0000,0.7984,0.0000,0.8035,0.0000,25.6100,0.0000,74.3900,0.0000,25.5395,0.0000,74.4605,0.0000
15434,237128.1445,0.0000,701932.6004,0.0000,226239.8285,0.0000,683224.3840,0.0000,0.0045,0.0000,0.0062,0.0000,0.0045,0.0000,0.0059,0.0000,2.8338,0.0000,6.0883,0.0000,3.4510,0.0000,6.7907,0.0000,1.6903,0.0000,7.9211,0.0000,2.5038,0.0000,9.8364,0.0000,0.7984,0.0000,0.8035,0.0000,0.7980,0.0000,0.8029,0.0000,25.2516,0.0000,74.7484,0.0000,24.8762,0.0000,75.1238,0.0000
15435,225364.9158,0.0000,685669.2942,0.0000,208353.3205,0.0000,671670.9998,0.0000,0.0043,0.0000,0.0061,0.0000,0.0042,0.0000,0.0059,0.0000,2.8184,0.0000,6.0447,0.0000,2.8387,0.0000,6.4010,0.0000,1.6722,0.0000,7.8088,0.0000,1.6978,0.0000,8.7500,0.0000,0.7984,0.0000,0.8035,0.0000,0.7987,0.0000,0.8033,0.0000,24.7373,0.0000,75.2627,0.0000,23.6759,0.0000,76.3241,0.0000
15436,236158.3723,0.0000,700305.8255,0.0000,224771.2106,0.0000,691077.6668,0.0000,0.0044,0.0000,0.0062,0.0000,0.0043,0.0000,0.0060,0.0000,2.8863,0.0000,6.0742,0.0000,3.0614,0.0000,6.5124,0.0000,1.7538,0.0000,7.8852,0.0000,1.9738,0.0000,9.0553,0.0000,0.7984,0.0000,0.8035,0.0000,0.7986,0.0000,0.8032,0.0000,25.2181,0.0000,74.7819,0.0000,24.5424,0.0000,75.4576,0.0000
15437,233144.2736,0.0000,702003.2746,0.0000,219043.2020,0.0000,690744.4395,0.0000,0.0044,0.0000,0.0062,0.0000,0.0044,0.0000,0.0060,0.0000,2.8495,0.0000,6.0889,0.0000,3.2283,0.0000,6.5124,0.0000,1.7091,0.0000,7.9224,0.0000,2.1929,0.0000,9.0536,0.0000,0.7984,0.0000,0.8035,0.0000,0.7982,0.0000,0.8032,0.0000,24.9313,0.0000,75.0687,0.0000,24.0763,0.0000,75.9237,0.0000
