# Power Spectral Density estimated with Welch's method
# Raw CSV rows: 1000000
# Preprocess method: reconstructed_uniform_time_axis
# Preprocess details: 原始时间列存在重复时间戳或非均匀步长，因此按首末时间和总样本数重建了均匀时间轴。 检测到 80002 个重复时间块，重复块长度范围为 1 到 10 行。
# Samples used for PSD: 1000000
# Sampling frequency used for PSD (Hz): 999999
# Window: hann
# nperseg: 131072
# noverlap: 65536
# detrend: constant
# Display unit: V^2/Hz
# Display formula: display = PSD_V2_per_Hz
# Reference impedance (Ohm): 50
# Peak count reported: 5
# Minimum peak prominence (dB): 6
# Peak 1: f=69564.74977 Hz, psd_v2_per_hz=1.722620836e-11, prominence_db=17.56305692
# Peak 2: f=40000.87553 Hz, psd_v2_per_hz=1.266751844e-11, prominence_db=16.07189258
# Peak 3: f=65116.81721 Hz, psd_v2_per_hz=8.669987205e-12, prominence_db=13.06382663
# Peak 4: f=17944.31799 Hz, psd_v2_per_hz=7.148190068e-12, prominence_db=12.2700983
# Peak 5: f=475356.5803 Hz, psd_v2_per_hz=6.876615323e-12, prominence_db=15.23737304
frequency_hz,psd_v2_per_hz,psd_v2_per_hz
823.9737853957485,2.830859111652425e-12,2.830859111652425e-12
831.603172297561,4.1615925735473635e-12,4.1615925735473635e-12
839.2325591993734,3.958422268843805e-12,3.958422268843805e-12
846.8619461011858,8.144938421088512e-12,8.144938421088512e-12
854.4913330029983,7.194284431593249e-12,7.194284431593249e-12
862.1207199048108,2.4599144903508403e-12,2.4599144903508403e-12
869.7501068066233,2.6027761230523363e-12,2.6027761230523363e-12
877.3794937084358,2.4327524457244055e-12,2.4327524457244055e-12
885.0088806102483,2.1287271380952755e-12,2.1287271380952755e-12
892.6382675120608,2.3350149447975725e-12,2.3350149447975725e-12
900.2676544138733,2.9942988756798536e-12,2.9942988756798536e-12
907.8970413156858,2.5970361598926037e-12,2.5970361598926037e-12
915.5264282174983,2.001354922972405e-12,2.001354922972405e-12
923.1558151193108,2.4998595389602795e-12,2.4998595389602795e-12
930.7852020211233,2.54504401595734e-12,2.54504401595734e-12
938.4145889229356,2.908717092092188e-12,2.908717092092188e-12
946.0439758247481,6.076374682833736e-12,6.076374682833736e-12
953.6733627265606,5.939951870346566e-12,5.939951870346566e-12
961.3027496283731,2.8828165504777946e-12,2.8828165504777946e-12
968.9321365301856,2.8649137218548698e-12,2.8649137218548698e-12
976.5615234319981,2.415001551322104e-12,2.415001551322104e-12
984.1909103338106,3.331424621206092e-12,3.331424621206092e-12
991.8202972356231,3.1251401497582228e-12,3.1251401497582228e-12
