scan_phase_rad,port_b_abs_mean,port_b_abs_std,port_b_norm_mean,port_b_norm_std,loss_mean
4.136430327226560344e+00,5.583397184666375468e-01,2.407419863859668885e-01,6.246423843538803089e-01,2.693300215202318881e-01,1.061450000000000726e-01
4.188790204786390525e+00,5.201271182066961041e-01,2.519166374486179194e-01,5.818920498366021432e-01,2.818316588804873346e-01,1.061450000000000726e-01
4.241150082346220707e+00,5.314684522562483915e-01,2.534772180776533324e-01,5.945801637360068614e-01,2.835775579681865111e-01,1.061450000000000726e-01
4.293509959906050000e+00,4.766259086392334310e-01,2.548363284040876531e-01,5.332250853205871000e-01,2.850980622182430757e-01,1.061450000000000726e-01
4.345869837465880181e+00,4.562989656636307068e-01,2.616429546799735606e-01,5.104843242624707012e-01,2.927129732226967374e-01,1.061450000000000726e-01
4.398229715025710362e+00,4.104047726231887516e-01,2.567986698066974105e-01,4.591402102390083617e-01,2.872934310449652973e-01,1.061450000000000726e-01
4.450589592585539656e+00,3.898951453573004100e-01,2.414452470005442608e-01,4.361950711886160570e-01,2.701167941115105720e-01,1.061450000000000726e-01
4.502949470145369837e+00,3.665844258728701566e-01,2.459264712353665394e-01,4.101162111000891120e-01,2.751301623142081709e-01,1.061450000000000726e-01
4.555309347705200018e+00,3.320036543174101351e-01,2.415556342595338302e-01,3.714289838032008850e-01,2.702402898227719841e-01,1.061450000000000726e-01
4.607669225265029311e+00,3.325001632753543657e-01,2.164344924886270616e-01,3.719844530436753338e-01,2.421360203708957937e-01,1.061450000000000726e-01
4.660029102824859493e+00,3.242464305513339529e-01,2.260483768239985869e-01,3.627505921557008239e-01,2.528915504460998442e-01,1.061450000000000726e-01
4.712388980384689674e+00,3.207109530505003470e-01,2.209723310837264920e-01,3.587952778140753307e-01,2.472127258713398834e-01,1.061450000000001004e-01
4.764748857944518967e+00,3.268074907518191408e-01,2.225232212817798150e-01,3.656157774491602952e-01,2.489477837924270187e-01,1.061450000000000449e-01
4.817108735504349148e+00,3.401548737049256976e-01,2.313743051192730105e-01,3.805481579282163351e-01,2.588499310506435780e-01,1.061450000000000726e-01
4.869468613064179330e+00,3.570791037066134987e-01,2.436456069276665970e-01,3.994821349174234038e-01,2.725784460876390924e-01,1.061450000000000865e-01
4.921828490624008623e+00,3.864481243311697067e-01,2.495698763720683167e-01,4.323387175002318394e-01,2.792062206645018474e-01,1.061450000000000726e-01
4.974188368183838804e+00,3.948147839321912711e-01,2.510244582002316149e-01,4.416989152963191057e-01,2.808335336270778027e-01,1.061450000000000726e-01
5.026548245743668986e+00,4.294467806091386008e-01,2.534036161737350801e-01,4.804434506817533701e-01,2.834952158613366358e-01,1.061450000000000726e-01
5.078908123303498279e+00,4.441877156044901631e-01,2.570732581434313491e-01,4.969348670695921122e-01,2.876006266602876282e-01,1.061450000000000865e-01
5.131268000863328460e+00,4.781026215218056041e-01,2.607592657341823994e-01,5.348771573933195356e-01,2.917243464926441709e-01,1.061450000000000726e-01
5.183627878423158641e+00,5.288385807312877551e-01,2.536838468116989209e-01,5.916379957949418067e-01,2.838087237993845990e-01,1.061450000000000726e-01
5.235987755982987935e+00,5.493436260483983702e-01,2.478355233690240911e-01,6.145780087915807544e-01,2.772659137880574831e-01,1.061450000000000726e-01
5.288347633542818116e+00,5.601111675144927471e-01,2.596408933408273501e-01,6.266241924187847534e-01,2.904731677294721814e-01,1.061450000000000865e-01
5.340707511102648297e+00,5.828590322409031854e-01,2.369141034112010047e-01,6.520733589238781880e-01,2.650475786466496841e-01,1.061450000000001004e-01
5.393067388662477590e+00,5.973675307738363083e-01,2.271840697484733829e-01,6.683047370925221387e-01,2.541621065480121899e-01,1.061450000000000865e-01
5.445427266222307772e+00,6.001791804562334187e-01,2.299815007853260596e-01,6.714502692900230496e-01,2.572917316402840160e-01,1.061450000000000726e-01
5.497787143782137953e+00,6.178449488196867678e-01,2.210075306857834931e-01,6.912138420881316359e-01,2.472521054150656761e-01,1.061450000000000726e-01
