scan_phase_rad,port_b_abs_mean,port_b_abs_std,port_b_norm_mean,port_b_norm_std,loss_mean
4.293509959906050000e+00,4.766259086392334310e-01,2.548363284040876531e-01,5.332250853205871000e-01,2.850980622182431312e-01,1.061450000000000726e-01
4.345869837465880181e+00,4.562989656636308178e-01,2.616429546799735606e-01,5.104843242624708122e-01,2.927129732226967374e-01,1.061450000000000726e-01
4.398229715025710362e+00,4.104047726231888071e-01,2.567986698066974660e-01,4.591402102390084172e-01,2.872934310449654083e-01,1.061450000000000726e-01
4.450589592585539656e+00,3.898951453573005210e-01,2.414452470005443163e-01,4.361950711886161680e-01,2.701167941115106275e-01,1.061450000000000726e-01
4.502949470145369837e+00,3.665844258728702676e-01,2.459264712353665672e-01,4.101162111000893340e-01,2.751301623142082264e-01,1.061450000000000726e-01
4.555309347705200018e+00,3.320036543174103016e-01,2.415556342595338857e-01,3.714289838032009961e-01,2.702402898227720396e-01,1.061450000000000726e-01
4.607669225265029311e+00,3.325001632753545877e-01,2.164344924886271726e-01,3.719844530436755003e-01,2.421360203708959324e-01,1.061450000000000726e-01
4.660029102824859493e+00,3.242464305513341194e-01,2.260483768239986702e-01,3.627505921557010460e-01,2.528915504460999553e-01,1.061450000000000726e-01
4.712388980384689674e+00,3.207109530505005135e-01,2.209723310837266308e-01,3.587952778140755528e-01,2.472127258713400222e-01,1.061450000000000865e-01
4.764748857944518967e+00,3.268074907518193628e-01,2.225232212817799260e-01,3.656157774491605728e-01,2.489477837924271297e-01,1.061450000000000587e-01
4.817108735504349148e+00,3.401548737049259197e-01,2.313743051192731215e-01,3.805481579282165572e-01,2.588499310506437445e-01,1.061450000000000726e-01
4.869468613064179330e+00,3.570791037066137208e-01,2.436456069276666803e-01,3.994821349174236258e-01,2.725784460876391480e-01,1.061450000000000865e-01
4.921828490624008623e+00,3.864481243311698733e-01,2.495698763720683444e-01,4.323387175002319505e-01,2.792062206645019029e-01,1.061450000000000726e-01
4.974188368183838804e+00,3.948147839321913821e-01,2.510244582002316704e-01,4.416989152963192167e-01,2.808335336270778582e-01,1.061450000000000865e-01
5.026548245743668986e+00,4.294467806091386008e-01,2.534036161737351356e-01,4.804434506817534811e-01,2.834952158613366913e-01,1.061450000000000726e-01
