comp_x_unit,comp_y_unit,comp_z_unit,final_temperature_uK,cooling_efficiency,mean_field_mG,initial_field_mG,final_field_mG,mean_relative_efficiency
120.0,-70.0,-120.0,30.79218762009505,0.24885979405148514,217.58103402735463,255.88083163847972,213.7770380362663,0.6418301277917746
-120.0,-60.0,-120.0,29.49215877103182,0.2839957088910319,204.04745650965046,176.84739183827395,207.84413105446538,0.6707206066617875
-110.0,-60.0,-120.0,28.593525197261403,0.30828310277671883,198.68187678556654,173.99712641305317,202.23560970732746,0.6823647791925763
-100.0,-60.0,-120.0,27.741762588060983,0.3313037138361897,193.6841326188768,171.68284713389394,196.97538133889518,0.6932894581388113
-90.0,-60.0,-120.0,26.944479613825884,0.3528519023290302,189.08304007310213,169.9264546796643,192.0920609330637,0.7034058910306373
-80.0,-60.0,-120.0,26.209120058216662,0.3727264849130632,184.9078044349126,168.74537030686204,187.61508173230783,0.7126278854468403
-70.0,-60.0,-120.0,25.54283370720879,0.39073422412949216,181.1874221757908,168.15171720800237,183.5741755076929,0.7208734417144449
-60.0,-60.0,-120.0,24.952342777747468,0.40669343843925765,177.94996189651954,168.15171720800237,179.99871369884266,0.7280664176362946
-50.0,-60.0,-120.0,24.443807836600243,0.42043762603783125,175.22174425733837,168.74537030686204,176.9169182219344,0.7341381690248809
-40.0,-60.0,-120.0,24.022697668568682,0.43181898193057616,173.02645737890685,169.9264546796643,174.35496830619803,0.7390291052907381
-30.0,-60.0,-120.0,23.693667849435396,0.4407116797449893,171.38426075402995,171.68284713389394,172.3360496035696,0.7426900980461992
-20.0,-60.0,-120.0,23.460452810007297,0.4470147889187217,170.31094414972821,173.99712641305317,170.8794107342154,0.7450836831001367
-10.0,-60.0,-120.0,23.32577591039203,0.45065470512453976,169.8172146573526,176.84739183827395,169.99950597805096,0.7461850025014694
0.0,-60.0,-120.0,23.291281471636598,0.4515869872530649,169.9081818229383,180.208212909401,169.7053064953777,0.7459824432561211
10.0,-60.0,-120.0,23.357491858391263,0.44979751734077666,170.5830962036148,184.0516231930596,169.99985315463883,0.7444779424511051
20.0,-60.0,-120.0,23.5237916241605,0.4453029290767433,171.83537191335435,188.34808201837362,170.88010151128617,0.7416869439017655
30.0,-60.0,-120.0,23.788439497698207,0.4381502838459944,173.65289270043496,193.06734576307824,172.33707701018997,0.7376380079786113
40.0,-60.0,-120.0,24.148607699546734,0.42841600812035857,176.01856972260165,198.17921182606415,174.35632231819082,0.7323720927224346
50.0,-60.0,-120.0,24.6004468317766,0.4162041396817135,178.91109357403064,203.654118544163,176.91858622607614,0.725941539479327
60.0,-60.0,-120.0,25.139173476015774,0.4016439601076818,182.30580779171564,209.4636006565341,180.00068103244007,0.7184088089805232
70.0,-60.0,-120.0,25.759176742792462,0.38488711505966317,186.17562774097644,215.580611373101,183.5764260248328,0.709845023211896
80.0,-60.0,-120.0,26.454139392581972,0.36610434074102777,190.49193622173618,221.97972880423114,187.61759835356492,0.7003283740560144
90.0,-60.0,-120.0,27.217168820639195,0.34548192376650827,195.22540202354918,228.63726730347352,192.09482614549592,0.6899424614051717
100.0,-60.0,-120.0,28.040933159823116,0.32321802270748334,200.34668588339602,235.53131426627755,196.97837762499972,0.6787746214484186
110.0,-60.0,-120.0,28.917797979103,0.29951897353775675,205.82701618804836,242.64171117101858,202.23881989293173,0.6669143006367849
120.0,-60.0,-120.0,29.839959492338174,0.27459568939626555,211.6386317839636,249.94999499899976,207.84753857477932,0.6544515231465454
-120.0,-50.0,-120.0,28.569444997841735,0.3089339189772504,198.18435070053565,168.74537030686204,202.23540766596957,0.6834658614987132
-110.0,-50.0,-120.0,27.63316142968419,0.33423888027880566,192.65689351081664,165.75584454250776,196.4668397815,0.6955571658029436
-100.0,-50.0,-120.0,26.745299640885275,0.35823514484093855,187.50024693207246,163.32482971061074,191.04784257781682,0.7069081167404375
-90.0,-50.0,-120.0,25.913847542704914,0.38070682317013743,182.7454140285907,161.47755261955143,186.0089706803061,0.717425050801115
-80.0,-50.0,-120.0,25.146631827260553,0.4014423830470121,178.42405762813175,160.23420358962065,181.3819070179153,0.7270168717860389
