time_s,value
25130.964832,836020898.0
25136.977232,835987564.0
25142.978145,836129531.0
25149.012911,836204231.0
25155.038389,836081131.0
25161.067674,836248298.0
25167.075663,836020498.0
25173.091669,836103431.0
25179.109079,836129731.0
25185.126334,836096398.0
25191.143664,835997398.0
25197.149351,836079331.0
25203.151542,836114364.0
25209.179029,836028031.0
25215.206029,836013264.0
25221.21475,836094298.0
25227.232369,835984998.0
25233.247478,836130031.0
25239.259286,836129331.0
25245.278375,836037364.0
25251.300072,836096798.0
25257.316563,836106631.0
25263.331918,835971798.0
25269.397866,835981031.0
25275.406449,836005398.0
25281.429166,836020598.0
25287.439534,835962264.0
25293.458344,835964264.0
25299.488242,836021398.0
25305.501333,836045598.0
25311.50991,835971298.0
25317.511928,836055031.0
25323.509156,836071298.0
25329.5217,836005731.0
25335.529447,836029631.0
25341.546448,835995398.0
25347.570674,835996798.0
25353.597848,836054831.0
25359.615927,836029531.0
25365.625435,836070198.0
25371.635383,836088964.0
25377.637576,836013164.0
25383.661259,835997498.0
25389.666757,836037664.0
25395.672478,836071598.0
25401.685737,836004031.0
25407.707957,835976664.0
25413.718115,836096398.0
25419.729489,836112164.0
25425.739197,836102531.0
25431.757416,835996598.0
25437.776926,836128931.0
25443.78253,836164764.0
25449.799663,836070998.0
25455.820836,836103631.0
25461.838135,836034998.0
25467.857011,836139964.0
25473.881782,836020198.0
25479.88777,836020198.0
25485.906609,836030731.0
25491.921428,836156031.0
25497.948656,836114964.0
25503.954617,836021398.0
25509.977395,836147298.0
25516.003515,836052931.0
25522.009696,836012364.0
25528.035591,836106131.0
25534.044894,836145998.0
25540.060953,836088464.0
25546.075304,835993698.0
25552.088619,836059998.0
25558.10498,835976664.0
25564.127478,836087464.0
25570.136381,836129431.0
25576.160667,835968331.0
25582.165806,836051664.0
25588.19141,836131331.0
25594.201695,836105031.0
25600.213608,836020598.0
25606.218301,836070998.0
25612.236737,836103031.0
25618.257332,836070898.0
25624.281772,836076664.0
25630.300381,836145798.0
25636.31136,836096198.0
25642.326532,836087664.0
25648.343906,836161764.0
25654.364112,836022098.0
25660.398314,836030831.0
25666.424981,836055031.0
25672.438424,835970998.0
25678.44712,836055798.0
25684.470806,836072198.0
25690.490022,836018331.0
25696.498961,836079631.0
25702.513043,835961764.0
25708.526724,836121098.0
25714.548779,836068331.0
25720.556691,836113464.0
25726.568747,836130731.0
25732.587822,836126664.0
25738.618559,836029431.0
25744.625586,836013564.0
25750.635569,836006231.0
25756.639086,836076664.0
25762.649188,836096498.0
25768.672173,836055531.0
25774.684968,836072698.0
25780.705904,835951664.0
25786.71498,836095198.0
25792.736073,836128631.0
25798.7491,836098398.0
25804.77004,836013364.0
25810.784721,836154831.0
25816.802484,836043331.0
25822.80714,836129031.0
25828.824553,836069598.0
25834.84172,836071398.0
25840.855604,836087164.0
25846.873832,836078131.0
25852.893775,836054331.0
25858.906496,836054931.0
25864.917987,836147498.0
25870.937014,836055831.0
25877.067592,836171598.0
25883.073477,836105764.0
25889.08774,836114664.0
25895.104053,836093331.0
25901.124109,836188664.0
25907.14616,836146598.0
25913.151023,836079931.0
25919.175629,836079631.0
25925.200336,836104631.0
25931.214543,836038364.0
25937.237351,836109998.0
25943.257794,836162464.0
25949.287024,836084998.0
25955.304647,836189964.0
25961.324071,836095998.0
25967.326727,836078831.0
25973.336055,836162864.0
25979.345598,836197098.0
25985.352566,836129031.0
25991.365574,836070498.0
25997.370703,836109998.0
26003.390087,836147598.0
26009.405711,836130731.0
26015.422808,836155631.0
26021.440063,836120698.0
26027.456116,836195798.0
26033.470395,836128831.0
26039.488826,836180231.0
26045.505889,836122698.0
26051.515078,836189364.0
26057.527127,836118331.0
26063.542726,836113964.0
26069.54378,836153731.0
26075.553103,836078631.0
26081.679023,836071898.0
26087.684917,836118164.0
26093.691393,836137364.0
26099.701211,836113664.0
26105.706899,836164164.0
26111.722293,836001664.0
26117.728926,836130831.0
26123.746869,836070798.0
26129.762225,835993331.0
26135.783254,836009998.0
26141.796619,835979831.0
26147.809689,836019898.0
26153.823023,836021098.0
26159.831672,836055231.0
26165.849597,836088364.0
26171.865918,836068331.0
26177.877137,836071898.0
26183.899254,836122298.0
26189.92396,836021598.0
26195.934775,835993331.0
26201.952228,836023298.0
26207.961314,836055631.0
26213.960523,836043331.0
26219.964887,835996398.0
26225.96091,836129931.0
26231.965526,836003431.0
26237.961945,836065664.0
26243.962637,836005031.0
26249.961515,836082231.0
26255.961629,836021898.0
26261.960455,836054831.0
26267.960764,836111864.0
26273.961886,836079131.0
26279.960213,836064264.0
26285.962487,836064264.0
26291.961701,835926664.0
26297.961624,836001664.0
26303.961752,836074198.0
26309.959987,836034998.0
26315.961514,836038764.0
26321.964795,836113964.0
26327.992294,836084998.0
26334.014487,836063464.0
26340.036397,836136264.0
26346.052849,836112664.0
26352.065995,836011764.0
26358.07557,835951664.0
26364.092454,836036364.0
26370.117844,836038964.0
26376.148776,836098398.0
26382.171419,836001664.0
26388.192318,835963264.0
26394.211083,836068331.0
26400.214107,835993331.0
26406.239106,835959998.0
26412.251318,835996098.0
26418.265509,836001664.0
26424.274074,836096298.0
26430.277117,836130131.0
26436.277754,835993331.0
26442.296909,836068331.0
26448.30619,836013964.0
26454.32748,836026664.0
26460.338077,836053431.0
26466.341463,836156331.0
26472.355373,836037764.0
26478.375151,836138764.0
26484.387997,836138764.0
26490.415162,836146098.0
26496.429815,836168331.0
26502.439332,836068331.0
26508.455184,836104631.0
26514.473719,836096698.0
26520.488556,836039464.0
26526.493872,836063064.0
26532.518148,836094398.0
26538.525926,836061464.0
26544.54152,836080231.0
26550.56072,836145298.0
26556.584944,836020498.0
26562.586961,836073298.0
26568.616533,836073298.0
26574.638095,836043331.0
26580.660266,836043331.0
26586.681935,836139264.0
26592.70337,836053531.0
26598.714491,836172798.0
26604.721414,836178731.0
26610.733125,836109998.0
26616.755699,836018331.0
26622.771451,836139164.0
26628.777919,836144998.0
26634.789967,836152831.0
26640.820555,836139364.0
26646.83773,836055631.0
26652.838112,836053331.0
26658.864286,836064064.0
26664.872954,836054331.0
26670.891377,836171198.0
26676.942782,836049598.0
26682.947714,836086631.0
26688.951124,836103731.0
26694.967205,836101664.0
26700.978532,836172498.0
26706.977382,836120598.0
26712.978324,836130131.0
26718.976799,836110864.0
26724.976694,836118331.0
26730.976534,836129031.0
26736.980768,836096198.0
26742.976726,836196398.0
26748.984012,836121398.0
26754.993015,836103231.0
26760.993191,836170898.0
26767.000186,836197398.0
26773.012403,836071898.0
26779.037307,836143331.0
26785.044579,836177231.0
26791.063789,836105031.0
26797.082883,836151664.0
26803.09275,836104131.0
26809.112044,836137664.0
26815.121393,836128631.0
26821.122469,836163264.0
26827.136683,836171898.0
26833.15532,836146498.0
26839.178075,836145498.0
26845.183848,836151664.0
26851.191457,836138064.0
26857.204986,836159998.0
26863.218761,836109998.0
26869.230057,836101664.0
26875.233522,836145098.0
26881.251159,836145098.0
