time_s,value,kept
26424.274074,836096298.0,1
26430.277117,836130131.0,1
26436.277754,835993331.0,1
26442.296909,836068331.0,1
26448.30619,836013964.0,1
26454.32748,836026664.0,1
26460.338077,836053431.0,1
26466.341463,836156331.0,1
26472.355373,836037764.0,1
26478.375151,836138764.0,1
26484.387997,836138764.0,1
26490.415162,836146098.0,1
26496.429815,836168331.0,1
26502.439332,836068331.0,1
26508.455184,836104631.0,1
26514.473719,836096698.0,1
26520.488556,836039464.0,1
26526.493872,836063064.0,1
26532.518148,836094398.0,1
26538.525926,836061464.0,1
26544.54152,836080231.0,1
26550.56072,836145298.0,1
26556.584944,836020498.0,1
26562.586961,836073298.0,1
26568.616533,836073298.0,1
26574.638095,836043331.0,1
26580.660266,836043331.0,1
26586.681935,836139264.0,1
26592.70337,836053531.0,1
26598.714491,836172798.0,1
26604.721414,836178731.0,1
26610.733125,836109998.0,1
26616.755699,836018331.0,1
26622.771451,836139164.0,1
26628.777919,836144998.0,1
26634.789967,836152831.0,1
26640.820555,836139364.0,1
26646.83773,836055631.0,1
26652.838112,836053331.0,1
26658.864286,836064064.0,1
26664.872954,836054331.0,1
26670.891377,836171198.0,1
26676.942782,836049598.0,1
26682.947714,836086631.0,1
26688.951124,836103731.0,1
26694.967205,836101664.0,1
26700.978532,836172498.0,1
26706.977382,836120598.0,1
26712.978324,836130131.0,1
26718.976799,836110864.0,1
26724.976694,836118331.0,1
26730.976534,836129031.0,1
26736.980768,836096198.0,1
26742.976726,836196398.0,1
26748.984012,836121398.0,1
26754.993015,836103231.0,1
26760.993191,836170898.0,1
26767.000186,836197398.0,1
26773.012403,836071898.0,1
26779.037307,836143331.0,1
26785.044579,836177231.0,1
26791.063789,836105031.0,1
26797.082883,836151664.0,1
26803.09275,836104131.0,1
26809.112044,836137664.0,1
26815.121393,836128631.0,1
26821.122469,836163264.0,1
26827.136683,836171898.0,1
26833.15532,836146498.0,1
26839.178075,836145498.0,1
26845.183848,836151664.0,1
26851.191457,836138064.0,1
26857.204986,836159998.0,1
26863.218761,836109998.0,1
26869.230057,836101664.0,1
26875.233522,836145098.0,1
26881.251159,836145098.0,1
26887.272658,836105331.0,1
26893.27567,836170998.0,1
26899.284355,836155131.0,1
26905.29411,836198298.0,1
26911.309159,836204731.0,1
26917.323523,836109998.0,1
26923.341533,836043331.0,1
26929.355723,836070998.0,1
26935.374175,836168331.0,1
26941.37783,836026664.0,1
26947.388728,836145598.0,1
26953.412623,836137764.0,1
26959.425693,836168331.0,1
26965.437355,836151664.0,1
26971.452375,836109998.0,1
26977.464918,836221598.0,1
26983.47242,836112364.0,1
26989.479561,836230131.0,1
26995.482093,836155231.0,1
27001.47992,836188564.0,1
27007.502584,836159998.0,1
27013.515971,836179531.0,1
27019.528777,836109998.0,1
27025.545125,836122298.0,1
27031.562369,836205131.0,1
27037.573414,836147998.0,1
27043.571792,836184998.0,1
27049.584522,836120498.0,1
27055.58639,836088464.0,1
27061.586751,836145998.0,1
27067.609421,836172298.0,1
27073.624542,836053431.0,1
27079.637034,836053431.0,1
27085.656909,836163264.0,1
27091.667811,836157631.0,1
27097.684464,836186564.0,1
27103.686382,836196598.0,1
27109.705638,836093331.0,1
27115.722447,836180331.0,1
27121.728921,836126664.0,1
27127.74845,836113164.0,1
27133.758938,836155031.0,1
27139.762299,836138264.0,1
27145.784834,836159998.0,1
27151.789555,836113764.0,1
27157.800562,836196398.0,1
27163.814266,836220098.0,1
27169.834619,836263364.0,1
27175.854154,836206031.0,1
27181.878117,836205131.0,1
27187.886233,836113764.0,1
27193.905522,836034998.0,1
27199.929558,836129131.0,1
27205.952599,836154731.0,1
27211.970438,836095798.0,1
27217.983161,836121798.0,1
27223.994845,836129331.0,1
27229.99366,836053731.0,1
27235.991844,836238664.0,1
27241.992721,836144298.0,1
27247.992698,836219798.0,1
27253.994459,836170898.0,1
27259.992527,836154631.0,1
27265.998177,836203831.0,1
27271.99402,836090098.0,1
27277.992385,836120898.0,1
27283.992667,836220998.0,1
27289.992835,836190064.0,1
27295.992291,836112964.0,1
27301.994419,836034998.0,1
27307.998464,836096198.0,1
27313.991935,836068798.0,1
27319.995997,836162464.0,1
27326.00825,836097398.0,1
27332.009162,836155431.0,1
27338.009058,836184998.0,1
