Parameter,atoms_UP_Fit,atoms_UP_Fit_Std,atoms_DW_Fit,atoms_DW_Fit_Std,atoms_UP_Raw,atoms_UP_Raw_Std,atoms_DW_Raw,atoms_DW_Raw_Std,amp_UP_Fit,amp_UP_Fit_Std,amp_DW_Fit,amp_DW_Fit_Std,amp_UP_Raw,amp_UP_Raw_Std,amp_DW_Raw,amp_DW_Raw_Std,sigma_UP_Fit,sigma_UP_Fit_Std,sigma_DW_Fit,sigma_DW_Fit_Std,sigma_UP_Raw,sigma_UP_Raw_Std,sigma_DW_Raw,sigma_DW_Raw_Std,temp_UP_Fit,temp_UP_Fit_Std,temp_DW_Fit,temp_DW_Fit_Std,temp_UP_Raw,temp_UP_Raw_Std,temp_DW_Raw,temp_DW_Raw_Std,arrival_UP_Fit,arrival_UP_Fit_Std,arrival_DW_Fit,arrival_DW_Fit_Std,arrival_UP_Raw,arrival_UP_Raw_Std,arrival_DW_Raw,arrival_DW_Raw_Std,prob_UP_Fit,prob_UP_Fit_Std,prob_DW_Fit,prob_DW_Fit_Std,prob_UP_Raw,prob_UP_Raw_Std,prob_DW_Raw,prob_DW_Raw_Std
445,46507.7029,7493.6552,576980.8199,73103.5945,32859.9640,14039.4423,587859.7872,73311.6872,0.0008,0.0001,0.0066,0.0008,0.0008,0.0001,0.0069,0.0008,3.2848,0.2347,4.6865,0.0431,5.3215,0.4515,4.6829,0.3366,2.2906,0.3220,4.6981,0.0861,6.0047,0.9922,4.7051,0.6713,0.7999,0.0002,0.8038,0.0001,0.7990,0.0005,0.8035,0.0003,7.4635,0.6843,92.5365,0.6843,5.2189,1.6353,94.7811,1.6353
447,54212.2301,12198.5561,632848.8137,64599.2147,43118.9314,17576.5874,645154.2741,63382.1436,0.0009,0.0001,0.0072,0.0007,0.0009,0.0002,0.0075,0.0006,3.2920,0.2484,4.7234,0.0891,4.4275,0.7879,4.5552,0.3562,2.3017,0.3474,4.7729,0.1801,4.2445,1.4651,4.4564,0.7080,0.7999,0.0002,0.8038,0.0002,0.7996,0.0005,0.8036,0.0004,7.8532,1.2503,92.1468,1.2503,6.1760,2.0519,93.8240,2.0519
449,56133.8766,15174.9102,667247.1636,28184.3229,48662.3695,21331.2133,677880.6689,31171.3983,0.0009,0.0001,0.0075,0.0003,0.0010,0.0002,0.0079,0.0002,3.3154,0.4080,4.7580,0.0404,4.0869,0.5510,4.5126,0.1781,2.3519,0.5855,4.8418,0.0829,3.5803,0.9335,4.3599,0.3394,0.7998,0.0001,0.8038,0.0001,0.7997,0.0005,0.8037,0.0003,7.6933,1.6161,92.3067,1.6161,6.5758,2.3958,93.4242,2.3958
451,45138.3409,9112.8624,601045.5950,77484.6194,33406.0490,11503.1359,610641.9944,79113.2667,0.0008,0.0001,0.0069,0.0009,0.0008,0.0001,0.0072,0.0009,3.1758,0.1995,4.7114,0.0298,4.7255,0.9327,4.6829,0.2607,2.1398,0.2650,4.7486,0.0611,4.8584,2.0859,4.6994,0.5075,0.8000,0.0002,0.8039,0.0001,0.7994,0.0009,0.8036,0.0003,6.9714,0.9883,93.0286,0.9883,5.0989,1.3505,94.9011,1.3505
453,47093.0492,10005.5660,613054.2733,66309.2680,38315.2283,15670.5900,623613.7379,70533.5528,0.0008,0.0001,0.0070,0.0007,0.0008,0.0001,0.0072,0.0008,3.2174,0.2685,4.7359,0.0210,4.4275,0.7586,4.6404,0.4094,2.2006,0.3568,4.7977,0.0428,4.2350,1.4557,4.6319,0.7956,0.7998,0.0002,0.8038,0.0001,0.7995,0.0008,0.8037,0.0004,7.0676,0.8213,92.9324,0.8213,5.5987,1.8965,94.4013,1.8965
455,52360.1111,9491.5852,637966.9291,46365.3706,47777.3515,15146.2283,648965.4305,47586.2594,0.0008,0.0001,0.0072,0.0005,0.0009,0.0001,0.0076,0.0005,3.4131,0.2948,4.7765,0.0377,4.2146,0.7435,4.4701,0.1505,2.4776,0.4374,4.8805,0.0762,3.8443,1.2071,4.2772,0.2867,0.7999,0.0001,0.8038,0.0001,0.7997,0.0010,0.8038,0.0001,7.5462,0.8939,92.4538,0.8939,6.7651,1.6684,93.2349,1.6684
457,43655.1388,8109.6920,611882.5900,70358.7889,32963.7854,12278.6064,622716.9259,71337.1291,0.0007,0.0001,0.0069,0.0008,0.0008,0.0001,0.0073,0.0009,3.1573,0.2907,4.7570,0.0513,4.7681,0.9472,4.5126,0.2332,2.1218,0.4104,4.8408,0.1047,4.9440,1.8951,4.3637,0.4564,0.7998,0.0002,0.8038,0.0001,0.7992,0.0010,0.8037,0.0002,6.6641,1.0877,93.3359,1.0877,5.0383,1.8291,94.9617,1.8291
459,40334.3367,4547.1864,581972.9530,70164.5943,31008.7322,7561.3800,592701.3775,72722.9442,0.0006,0.0001,0.0067,0.0009,0.0007,0.0000,0.0070,0.0009,3.3360,0.2169,4.7097,0.0589,5.3747,0.7245,4.4169,0.2678,2.3608,0.3055,4.7457,0.1209,6.1728,1.6973,4.1842,0.4965,0.7999,0.0000,0.8039,0.0002,0.7990,0.0007,0.8038,0.0002,6.5091,0.6900,93.4909,0.6900,5.0537,1.4493,94.9463,1.4493
461,51209.9035,12753.8713,648076.5783,78088.5273,44092.8966,16231.1340,660960.0984,81614.9498,0.0007,0.0001,0.0074,0.0009,0.0008,0.0001,0.0078,0.0009,3.6823,0.4324,4.7345,0.0300,4.7681,0.7616,4.5126,0.2332,2.9003,0.7136,4.7953,0.0610,4.9020,1.5498,4.3636,0.4558,0.8001,0.0001,0.8039,0.0001,0.7999,0.0009,0.8037,0.0003,7.2897,1.1887,92.7103,1.1887,6.1545,1.5331,93.8455,1.5331
463,39834.2526,8266.8699,592604.3287,84800.8276,29541.7213,10840.2647,603242.3547,84751.8053,0.0006,0.0001,0.0068,0.0009,0.0007,0.0001,0.0072,0.0010,3.4364,0.3477,4.6971,0.0395,4.7255,0.5510,4.5126,0.1781,2.5182,0.5293,4.7190,0.0780,4.7692,1.0800,4.3587,0.3405,0.8000,0.0001,0.8038,0.0001,0.7997,0.0005,0.8036,0.0002,6.2824,0.7490,93.7176,0.7490,4.5976,1.1495,95.4024,1.1495
